Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2020,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,3.9,3.9,,,2.6,5.9,58,10746,Disability Type,Self-care Disability,,,DISEST,VETIND,20,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,VETIND,22,VET1,AGEADJPREV,DISTYPE,VISDIS,,
2020,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,25.2,25.2,,,20.9,30.0,402,271691,Disability Status,Any Disability,,,DISEST,VETIND,36,VET1,AGEADJPREV,DISSTAT,DISABL,,
2020,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,17.4,17.4,,,13.4,22.3,185,61724,Disability Type,Mobility Disability,,,DISEST,VETIND,05,VET1,AGEADJPREV,DISTYPE,MOBDIS,,
2020,PA,Pennsylvania,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,70.3,70.3,,,64.5,75.6,370,602193,Disability Status,No Disability,,,DISEST,VETIND,42,VET1,AGEADJPREV,DISSTAT,NODIS,,
2020,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,4.5,4.5,,,4.0,5.2,646,368446,Disability Type,Vision Disability,,,DISEST,VETIND,39,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,4.8,4.8,,,4.3,5.3,552,113511,Disability Type,Hearing Disability,,,DISEST,VETIND,19,VET2,AGEADJPREV,DISTYPE,HEARDIS,,
2020,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,15.3,15.3,,,11.7,19.7,191,12671,Disability Type,Hearing Disability,,,DISEST,VETIND,56,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,MS,Mississippi,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,34.1,34.1,,,29.1,39.5,352,106937,Disability Status,Any Disability,,,DISEST,VETIND,28,VET1,AGEADJPREV,DISSTAT,DISABL,,
2020,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.3,3.3,,,2.9,3.8,469,138774,Disability Type,Vision Disability,,,DISEST,VETIND,24,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,1.1,1.1,,,0.6,1.9,25,2075,Disability Type,Self-care Disability,,,DISEST,VETIND,15,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,6.5,6.5,,,4.9,8.4,204,44929,Disability Type,Hearing Disability,,,DISEST,VETIND,24,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,8.7,8.7,,,6.3,11.9,152,12301,Disability Type,Cognitive Disability,,,DISEST,VETIND,31,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,12.2,12.2,,,10.9,13.7,574,141115,Disability Type,Cognitive Disability,,,DISEST,VETIND,16,VET2,AGEADJPREV,DISTYPE,COGDIS,,
2020,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,4.3,4.3,,,2.7,7.0,117,107456,Disability Type,Self-care Disability,,,DISEST,VETIND,12,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,DE,Delaware,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,76.6,76.6,,,74.4,78.6,2359,482974,Disability Status,No Disability,,,DISEST,VETIND,10,VET2,AGEADJPREV,DISSTAT,NODIS,,
2020,MS,Mississippi,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,6.9,6.9,,,4.5,10.6,65,20143,Disability Type,Vision Disability,,,DISEST,VETIND,28,VET1,AGEADJPREV,DISTYPE,VISDIS,,
2020,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,5.0,5.0,,,4.3,5.7,526,354442,Disability Type,Hearing Disability,,,DISEST,VETIND,13,VET2,AGEADJPREV,DISTYPE,HEARDIS,,
2020,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,18.1,18.1,,,12.7,25.1,79,89083,Disability Type,Cognitive Disability,,,DISEST,VETIND,26,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,13.0,13.0,,,10.1,16.7,153,84239,Disability Type,Hearing Disability,,,DISEST,VETIND,01,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,68.2,68.2,,,61.9,73.9,361,201287,Disability Status,No Disability,,,DISEST,VETIND,41,VET1,AGEADJPREV,DISSTAT,NODIS,,
2020,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.8,3.8,,,2.9,5.0,131,17144,Disability Type,Vision Disability,,,DISEST,VETIND,02,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,7.1,7.1,,,6.2,8.1,465,87730,Disability Type,Hearing Disability,,,DISEST,VETIND,16,VET2,AGEADJPREV,DISTYPE,HEARDIS,,
2020,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,16.0,16.0,,,14.7,17.5,733,517081,Disability Type,Mobility Disability,,,DISEST,VETIND,22,VET2,AGEADJPREV,DISTYPE,MOBDIS,,
2020,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,9.0,9.0,,,8.3,9.7,1018,597581,Disability Type,Mobility Disability,,,DISEST,VETIND,34,VET2,AGEADJPREV,DISTYPE,MOBDIS,,
2020,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,16.7,16.7,,,10.2,25.9,65,5049,Disability Type,Cognitive Disability,,,DISEST,VETIND,50,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,6.7,6.7,,,4.2,10.3,47,27409,Disability Type,Vision Disability,,,DISEST,VETIND,40,VET1,AGEADJPREV,DISTYPE,VISDIS,,
2020,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,VETIND,17,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,19.0,19.0,,,15.4,23.3,248,29281,Disability Type,Hearing Disability,,,DISEST,VETIND,30,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,74.7,74.7,,,73.4,75.9,6490,1408349,Disability Status,No Disability,,,DISEST,VETIND,20,VET2,AGEADJPREV,DISSTAT,NODIS,,
2020,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,14.5,14.5,,,9.7,21.1,39,17424,Disability Type,Vision Disability,,,DISEST,VETIND,72,VET1,AGEADJPREV,DISTYPE,VISDIS,,
2020,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,71.2,71.2,,,69.2,73.2,2599,3110058,Disability Status,No Disability,,,DISEST,VETIND,47,VET2,AGEADJPREV,DISSTAT,NODIS,,
2020,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,7.6,7.6,,,6.6,8.7,320,193095,Disability Type,Vision Disability,,,DISEST,VETIND,40,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,VETIND,26,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,11.1,11.1,,,9.0,13.5,309,103273,Disability Type,Hearing Disability,,,DISEST,VETIND,53,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.2,3.2,,,2.5,4.0,209,15370,Disability Type,Vision Disability,,,DISEST,VETIND,50,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,26.4,26.4,,,25.2,27.7,2116,1195279,Disability Status,Any Disability,,,DISEST,VETIND,18,VET2,AGEADJPREV,DISSTAT,DISABL,,
2020,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,68.3,68.3,,,66.3,70.2,2121,1984980,Disability Status,No Disability,,,DISEST,VETIND,21,VET2,AGEADJPREV,DISSTAT,NODIS,,
2020,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,14.5,14.5,,,10.5,19.8,172,31111,Disability Type,Hearing Disability,,,DISEST,VETIND,16,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,14.1,14.1,,,10.6,18.4,90,50918,Disability Type,Cognitive Disability,,,DISEST,VETIND,40,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,24.5,24.5,,,20.9,28.5,657,49607,Disability Status,Any Disability,,,DISEST,VETIND,31,VET1,AGEADJPREV,DISSTAT,DISABL,,
2020,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,20.0,20.0,,,18.4,21.7,1313,93593,Disability Status,Any Disability,,,DISEST,VETIND,50,VET2,AGEADJPREV,DISSTAT,DISABL,,
2020,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,VETIND,34,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,8.0,8.0,,,6.9,9.3,319,247793,Disability Type,Vision Disability,,,DISEST,VETIND,22,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,9.7,9.7,,,5.6,16.5,30,62103,Disability Type,Cognitive Disability,,,DISEST,VETIND,17,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,5.7,5.7,,,3.3,9.7,34,26785,Disability Type,Self-care Disability,,,DISEST,VETIND,21,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,10.9,10.9,,,7.4,15.8,71,67695,Disability Type,Cognitive Disability,,,DISEST,VETIND,47,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,SC,South Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,65.3,65.3,,,58.2,71.7,351,325829,Disability Status,No Disability,,,DISEST,VETIND,45,VET1,AGEADJPREV,DISSTAT,NODIS,,
2020,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,72.9,72.9,,,70.4,75.3,1991,1832716,Disability Status,No Disability,,,DISEST,AGEIND,13,AGE02,PREV,DISSTAT,NODIS,,
2020,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,6.0,6.0,,,4.7,7.7,200,90780,Disability Type,Self-care Disability,,,DISEST,AGEIND,13,AGE03,PREV,DISTYPE,SELFDIS,,
2020,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,2.4,2.4,,,1.7,3.5,60,5620,Disability Type,Self-care Disability,,,DISEST,SEXIND,56,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2020,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,11.3,11.3,,,10.7,12.0,3511,3049717,Disability Type,Mobility Disability,,,DISEST,SEXIND,83,SEX01,AGEADJPREV,DISTYPE,MOBDIS,,
2020,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,16.3,16.3,,,14.3,18.5,334,432758,Disability Type,Mobility Disability,,,DISEST,AGEIND,37,AGE02,PREV,DISTYPE,MOBDIS,,
2020,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,18.7,18.7,,,16.5,21.2,305,145079,Disability Type,Hearing Disability,,,DISEST,AGEIND,41,AGE03,PREV,DISTYPE,HEARDIS,,
2020,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,79.8,79.8,,,78.4,81.0,4314,2195629,Disability Status,No Disability,,,DISEST,SEXIND,53,SEX01,AGEADJPREV,DISSTAT,NODIS,,
2020,SD,South Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,74.5,74.5,,,70.9,77.8,2602,235676,Disability Status,No Disability,,,DISEST,SEXIND,46,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2020,NC,North Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,37,RACE05,AGEADJPREV,DISTYPE,HEARDIS,,
2020,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,18.0,18.0,,,16.4,19.6,541,289336,Disability Type,Mobility Disability,,,DISEST,AGEIND,18,AGE02,PREV,DISTYPE,MOBDIS,,
2020,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,15.0,15.0,,,11.2,19.9,53,50238,Disability Type,Cognitive Disability,,,DISEST,RACEIND,41,RACE03,AGEADJPREV,DISTYPE,COGDIS,,
2020,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,9.4,9.4,,,7.9,11.0,294,301507,Disability Type,Cognitive Disability,,,DISEST,AGEIND,36,AGE03,PREV,DISTYPE,COGDIS,,
2020,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,7.0,7.0,,,6.0,8.1,228,47262,Disability Type,Hearing Disability,,,DISEST,AGEIND,20,AGE02,PREV,DISTYPE,HEARDIS,,
2020,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,8.1,8.1,,,6.4,10.2,328,535337,Disability Type,Vision Disability,,,DISEST,AGEIND,48,AGE02,PREV,DISTYPE,VISDIS,,
2020,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,2.3,2.3,,,1.7,3.3,51,11331,Disability Type,Hearing Disability,,,DISEST,AGEIND,15,AGE01,PREV,DISTYPE,HEARDIS,,
2020,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,31.5,31.5,,,29.4,33.6,862,258325,Disability Status,Any Disability,,,DISEST,AGEIND,08,AGE03,PREV,DISSTAT,DISABL,,
2020,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,33,RACE05,AGEADJPREV,DISTYPE,VISDIS,,
2020,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.0,3.0,,,2.3,3.9,155,84704,Disability Type,Self-care Disability,,,DISEST,SEXIND,04,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2020,SD,South Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,46,RACE05,AGEADJPREV,DISTYPE,MOBDIS,,
2020,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,74.6,74.6,,,70.2,78.6,567,144193,Disability Status,No Disability,,,DISEST,RACEIND,27,RACE03,AGEADJPREV,DISSTAT,NODIS,,
2020,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,5.0,5.0,,,4.0,6.3,147,104871,Disability Type,Mobility Disability,,,DISEST,AGEIND,29,AGE01,PREV,DISTYPE,MOBDIS,,
2020,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,10.6,10.6,,,8.8,12.8,460,700925,Disability Type,Cognitive Disability,,,DISEST,AGEIND,48,AGE02,PREV,DISTYPE,COGDIS,,
2020,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.5,3.5,,,2.7,4.6,90,61070,Disability Type,Self-care Disability,,,DISEST,SEXIND,22,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2020,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,9.7,9.7,,,8.5,11.0,391,632287,Disability Type,Cognitive Disability,,,DISEST,AGEIND,36,AGE01,PREV,DISTYPE,COGDIS,,
2020,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,16.2,16.2,,,15.0,17.6,715,151671,Disability Type,Hearing Disability,,,DISEST,AGEIND,27,AGE03,PREV,DISTYPE,HEARDIS,,
2020,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,8.6,8.6,,,7.4,9.8,383,57186,Disability Type,Cognitive Disability,,,DISEST,AGEIND,31,AGE01,PREV,DISTYPE,COGDIS,,
2020,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,16.9,16.9,,,14.4,19.8,204,70520,Disability Status,Any Disability,,,DISEST,AGEIND,33,AGE01,PREV,DISSTAT,DISABL,,
2020,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,12.2,12.2,,,10.1,14.7,230,249101,Disability Type,Cognitive Disability,,,DISEST,SEXIND,55,SEX02,AGEADJPREV,DISTYPE,COGDIS,,
2020,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,4.8,4.8,,,3.7,6.3,245,184321,Disability Type,Self-care Disability,,,DISEST,AGEIND,48,AGE03,PREV,DISTYPE,SELFDIS,,
2020,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,13.5,13.5,,,11.8,15.4,292,35222,Disability Type,Mobility Disability,,,DISEST,AGEIND,30,AGE02,PREV,DISTYPE,MOBDIS,,
